DATE,ALLLCBW027SBOG
1985-04-03,17.1371
1985-04-10,17.0733
1985-04-17,16.9235
1985-04-24,17.0403
1985-05-01,16.9923
1985-05-08,17.1713
1985-05-15,17.2284
1985-05-22,17.5904
1985-05-29,17.1932
1985-06-05,17.2871
1985-06-12,17.6582
1985-06-19,17.9054
1985-06-26,17.9069
1985-07-03,17.5004
1985-07-10,18.226
1985-07-17,18.4001
1985-07-24,18.7322
1985-07-31,18.8078
1985-08-07,18.8388
1985-08-14,18.8736
1985-08-21,18.911
1985-08-28,18.8943
1985-09-04,18.9559
1985-09-11,19.0268
1985-09-18,19.0794
1985-09-25,19.1413
1985-10-02,19.1223
1985-10-09,19.1855
1985-10-16,19.2674
1985-10-23,19.4056
1985-10-30,19.4208
1985-11-06,19.565
1985-11-13,19.7241
1985-11-20,19.641
1985-11-27,19.6059
1985-12-04,19.7798
1985-12-11,19.8562
1985-12-18,19.9627
1985-12-25,20.0694
1986-01-01,20.2568
1986-01-08,20.2502
1986-01-15,20.2824
1986-01-22,20.3458
1986-01-29,20.3727
1986-02-05,20.4738
1986-02-12,20.5726
1986-02-19,20.6264
1986-02-26,20.7416
1986-03-05,20.8337
1986-03-12,20.9201
1986-03-19,20.9502
1986-03-26,21.0445
1986-04-02,21.2776
1986-04-09,21.451
1986-04-16,21.6202
1986-04-23,21.769
1986-04-30,21.82
1986-05-07,21.8874
1986-05-14,21.9354
1986-05-21,22.2284
1986-05-28,22.0039
1986-06-04,21.9633
1986-06-11,22.3975
1986-06-18,22.5296
1986-06-25,22.5661
1986-07-02,22.3801
1986-07-09,22.8821
1986-07-16,23.0557
1986-07-23,23.2355
1986-07-30,23.4173
1986-08-06,23.6046
1986-08-13,23.6011
1986-08-20,23.5951
1986-08-27,23.636
1986-09-03,23.6325
1986-09-10,23.7108
1986-09-17,23.7143
1986-09-24,23.902
1986-10-01,23.7576
1986-10-08,23.8025
1986-10-15,24.0535
1986-10-22,24.2118
1986-10-29,24.255
1986-11-05,24.4422
1986-11-12,24.4202
1986-11-19,24.4001
1986-11-26,24.4401
1986-12-03,24.7079
1986-12-10,24.7043
1986-12-17,24.8801
1986-12-24,24.7491
